isbn13,isbn10,title,authors,categories,description,thumbnail,average_rating,num_pages,cleaned_description
9780786711642,0786711647,A Kiss Before Dying,Ira Levin,Fiction,"A Kiss Before Dying not only debuted the talent of best-selling novelist Ira Levin to rave reviews, it also set a new standard in the art of mystery and suspense. Now a modern classic, as gripping in its tautly plotted action as it is penetrating in its exploration of a criminal mind, it tells the shocking tale of a young man who will stop at nothing—not even murder—to get where he wants to go. For he has dreams; plans. He also has charm, good looks, sex appeal, intelligence. And he has a problem. Her name is Dorothy; she loves him, and she’s pregnant. The solution may demand desperate measures. But, then, he looks like the kind of guy who could get away with murder. Compellingly, step by determined step, the novel follows this young man in his execution of one plan he had neither dreamed nor foreseen. Nor does he foresee how inexorably he will be enmeshed in the consequences of his own extreme deed.",http://books.google.com/books/content?id=Bihue3zEwx0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94,242.0,kiss dying debuted talent bestselling novelist ira levin rave review also set new standard art mystery suspense modern classic gripping tautly plotted action penetrating exploration criminal mind tell shocking tale young man stop nothingnot even murderto get want go dream plan also charm good look sex appeal intelligence problem name dorothy love shes pregnant solution may demand desperate measure look like kind guy could get away murder compellingly step determined step novel follows young man execution one plan neither dreamed foreseen foresee inexorably enmeshed consequence extreme deed
9780786712342,0786712341,The Life of Sir Arthur Conan Doyle,John Dickson Carr,Biography & Autobiography,"A profile based on the subject's personal archives describes such topics as Doyle's education at Stonyhurst and Edinburgh University, his Southsea medical practice, his two marriages, his forays into politics and spiritualism, his friendships with such figures as H. G. Wells and King Edward VII, and his literary ambitions. Reprint.",http://books.google.com/books/content?id=QrU5PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.02,320.0,profile based subject personal archive describes topic doyles education stonyhurst edinburgh university southsea medical practice two marriage foray politics spiritualism friendship figure h g well king edward vii literary ambition reprint
9780786712946,0786712945,Rape,Joyce Carol Oates,Fiction,"The victim of a Fourth of July gang rape, single mother Teena Maguire and her daughter become the target of harassment and violence on the part of the assailants after Teena identifies the perpetrators for the Niagara Falls Police Department. 75,000 first printing.",http://books.google.com/books/content?id=DO6ETCsZxbcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.56,128.0,victim fourth july gang rape single mother teena maguire daughter become target harassment violence part assailant teena identifies perpetrator niagara fall police department first printing
9780786714827,0786714824,Rape,Joyce Carol Oates,Fiction,"The victim of a Fourth of July gang rape, single mother Teena Maguire and her daughter become the target of harassment and violence on the part of the assailants after Teena identifies the perpetrators for the Niagara Falls Police Department. Reprint.",http://books.google.com/books/content?id=AaTSYoJufZcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.56,154.0,victim fourth july gang rape single mother teena maguire daughter become target harassment violence part assailant teena identifies perpetrator niagara fall police department reprint
9780786714957,0786714956,The Mammoth Book of New Jules Verne Adventures,Mike Ashley;Eric Brown;Jules Verne,Fiction,"Written in homage to the master of science fiction, this anthology of stories--by Ian Watson and Adam Roberts, among others--inspired by Verne's vision presents stories that recall characters and plots from the author's fictional milieu. Original.",http://books.google.com/books/content?id=KuHtlgLyb3wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.68,498.0,written homage master science fiction anthology storiesby ian watson adam robert among othersinspired verne vision present story recall character plot author fictional milieu original
9780786716234,0786716231,Divine Invasions,Lawrence Sutin,Biography & Autobiography,"An official portrait of the influential novelist's life and career explores how Dick's writings expanded the scope of the science fiction genre, served as the inspirations for blockbuster movies, and influenced the written works of such contemporaries as Thomas Pynchon, Don Delillo, and David Foster Wallace. Original.",http://books.google.com/books/content?id=tL89TqisTVwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09,352.0,official portrait influential novelist life career explores dick writing expanded scope science fiction genre served inspiration blockbuster movie influenced written work contemporary thomas pynchon delillo david foster wallace original
9780786719051,0786719052,The Mammoth Book of Golden Age Science Fiction,Isaac Asimov;Charles G. Waugh;Martin Harry Greenberg,Fiction,"The Golden Age of Science Fiction, from the early 1940s through the 1950s, saw an explosion of talent in SF writing, including authors such as Isaac Asimov, Robert A. Heinlein, and Arthur C. Clarke. Their writing helped science fiction gain wide public attention, and left a lasting impression upon society. The same writers formed the mold for the next three decades of science fiction, and much of their writing remains as fresh today as it was then.",http://books.google.com/books/content?id=Ihn4AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.91,512.0,golden age science fiction early saw explosion talent sf writing including author isaac asimov robert heinlein arthur c clarke writing helped science fiction gain wide public attention left lasting impression upon society writer formed mold next three decade science fiction much writing remains fresh today
9780786808069,0786808063,Baby Einstein: Neighborhood Animals,Marilyn Singer;Julie Aigner-Clark,Juvenile Fiction,"Children will discover the exciting world of their own backyard in this introduction to familiar animals from cats and dogs to bugs and frogs. The combination of photographs, illustrations, and fun facts make this an accessible and delightful learning experience.",http://books.google.com/books/content?id=X9a4PAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89,16.0,child discover exciting world backyard introduction familiar animal cat dog bug frog combination photograph illustration fun fact make accessible delightful learning experience
9780786808373,0786808373,Baby Einstein: Birds,Julie Aigner-Clark,Juvenile Fiction,"Introducing your baby to birds, cats, dogs, and babies through fine art, illsutration and photographs. These books are a rare opportunity to expose little ones to a range of images on a single subject, from simple child's drawings and abstract art to playful photos. A brief text accompanies each image, introducing baby to some basic -- and sometimes playful -- information on the subjects.",http://books.google.com/books/content?id=0jxHPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.78,20.0,introducing baby bird cat dog baby fine art illsutration photograph book rare opportunity expose little one range image single subject simple child drawing abstract art playful photo brief text accompanies image introducing baby basic sometimes playful information subject
9780786808380,0786808381,Baby Einstein: Babies,Julie Aigner-Clark,Juvenile Fiction,"Introduce your babies to birds, cats, dogs, and babies through fine art, illustration, and photographs. These books are a rare opportunity to expose little ones to a range of images on a single subject, from simple child's drawings and abstract art to playful photos. A brief text accompanies each image, introducing the baby to some basic -- and sometimes playful -- information about the subjects.",http://books.google.com/books/content?id=jv4NAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.03,20.0,introduce baby bird cat dog baby fine art illustration photograph book rare opportunity expose little one range image single subject simple child drawing abstract art playful photo brief text accompanies image introducing baby basic sometimes playful information subject
9780786808397,078680839X,Baby Einstein: Dogs,Julie Aigner-Clark,Juvenile Fiction,"Introduce your baby to birds, cats, dogs, and babies through fine art, illustration, and photographs. These books are a rare opportunity to exopse little ones to a range of images on a single subject, from simple child's drawings and abstract art to playful photos. A brief text accompanies each image, introducing baby to some basic -- and sometimes playful -- information about the subjects.",http://books.google.com/books/content?id=qut8tQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.81,20.0,introduce baby bird cat dog baby fine art illustration photograph book rare opportunity exopse little one range image single subject simple child drawing abstract art playful photo brief text accompanies image introducing baby basic sometimes playful information subject
9780786808717,0786808713,Baby Einstein: What Does Violet See? Raindrops and Puddles,Julie Aigner-Clark,Juvenile Fiction,"A very special puddle sets Violet the mouse off on her latest nature discovery. It is through this puddle that Violet observes the effect rain has on the world around her. A Mylar puddle on the last page offers children a chance to see their reflection in a puddle, just like Violet!",http://books.google.com/books/content?id=95IIAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.25,18.0,special puddle set violet mouse latest nature discovery puddle violet observes effect rain world around mylar puddle last page offer child chance see reflection puddle like violet
9780786809196,0786809191,Son of the Mob: Hollywood Hustle,Gordon Korman,Juvenile Fiction,"When Vince heads out to sunny L.A. to go to college, he feels like he is finally going to be able to leave his shady family and their illegal antics behind. Once he arrives at school, he is paired up with the son of a prominent congressman as a roommate-finally some respectability! Not to mention that the girls in college are something else. With his girlfriend, Kendra, giving him such a hard time, Vince is beginning to wonder if single life is the way to go.",http://books.google.com/books/content?id=nTVxh9uxGUEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.64,268.0,vince head sunny la go college feel like finally going able leave shady family illegal antic behind arrives school paired son prominent congressman roommatefinally respectability mention girl college something else girlfriend kendra giving hard time vince beginning wonder single life way go
9780786809288,0786809280,The Tales from the Odyssey #1: One-Eyed Giant,Mary Pope Osborne,Juvenile Fiction,"When Odysseus must leave his home to fight the Trojan War, he never imagines that he’ll be away from his family for so many years. Now, at long last, he is leading his men home across the seas. But many dangers await them – and none is more terrifying than Polyphemus, the one-eyed giant.",http://books.google.com/books/content?id=osALAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.88,112.0,odysseus must leave home fight trojan war never imago hell away family many year long last leading men home across sea many danger await none terrifying polyphemus oneeyed giant
9780786809295,0786809299,Tales from the Odyssey: The Land of the Dead - Book #2,Mary Pope Osborne,Juvenile Fiction,"Odysseus and his men have defeated the one-eyed giant, but its curse follows them at every turn. Cast out to the open seas by the wind god, Odysseus and his fleet continue the difficult journey home. But they cannot return to Ithaca yet. First they must take on giant cannibals and outwit a beautiful witch, who reveals Odysseus’ next challenge – a journey to the mysterious and feared land of the dead.",http://books.google.com/books/content?id=OwYQ82s5VzIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.99,112.0,odysseus men defeated oneeyed giant curse follows every turn cast open sea wind god odysseus fleet continue difficult journey home return ithaca yet first must take giant cannibal outwit beautiful witch reveals odysseus next challenge journey mysterious feared land dead
9780786809301,0786809302,Sirens and Sea Monsters,Mary Pope Osborne,Juvenile Fiction,"Odysseus and his men have done what no other mortals have done: returned alive from the terrifying Land of the Dead. Armed with warnings and advice from the ghosts of the prophet Tiresias, Odysseus is determined to finally sail home to Ithaca. But the enchantress Circe tells him that the Greeks will face even more horrors on their journey, including an encounter with Scylla, the six-headed monster, and Charybdis, the deadly whirlpool. Who will survive these terrors-and how? In this third of six books based on episodes from Homer's Odyssey, Mary Pope Osborne continues the exciting adventures of one of the greatest heroes of all time.",https://placehold.co/150x200?text=No+Cover,4.05,112.0,odysseus men done mortal done returned alive terrifying land dead armed warning advice ghost prophet tiresias odysseus determined finally sail home ithaca enchantress circe tell greek face even horror journey including encounter scylla sixheaded monster charybdis deadly whirlpool survive terrorsand third six book based episode homer odyssey mary pope osborne continues exciting adventure one greatest hero time
